Price,Location,NumberOfRooms,square,Agency,floor
495 000,Qaraçuxur q.,6 otaqlı,280 m²,,
233 429,Nardaran q.,1 otaqlı,56.2 m²,Kompleks,10/14 mərtəbə
297 000,Şah İsmayıl Xətai m.,2 otaqlı,74 m²,Agentlik,4/18 mərtəbə
134 315,Nardaran q.,1 otaqlı,41.2 m²,Kompleks,10/14 mərtəbə
465 000,Gənclik m.,3 otaqlı,140 m²,Agentlik,15/17 mərtəbə
156 000,20 Yanvar m.,2 otaqlı,50 m²,Agentlik,11/20 mərtəbə
185 000,Savalan q.,7 otaqlı,240 m²,,
118 000,Əhmədli m.,2 otaqlı,45 m²,Agentlik,7/9 mərtəbə
380 000,Nərimanov r.,3 otaqlı,118 m²,Agentlik,4/18 mərtəbə
225 000,Nərimanov r.,2 otaqlı,65 m²,,5/9 mərtəbə
113 000,Məmmədli q.,3 otaqlı,100 m²,,
856 600,Nardaran q.,3 otaqlı,229 m²,Kompleks,10/14 mərtəbə
300 000,Şüvəlan q.,12 sot,,Agentlik,
205 000,Əhmədli m.,2 otaqlı,85 m²,Agentlik,14/17 mərtəbə
470 000,Nərimanov r.,3 otaqlı,135 m²,Agentlik,15/17 mərtəbə
168 000,İnşaatçılar m.,3 otaqlı,70 m²,Agentlik,5/5 mərtəbə
210 000,Neftçilər m.,3 otaqlı,75 m²,Agentlik,4/5 mərtəbə
180 000,Bakıxanov q.,3 otaqlı,75 m²,Agentlik,8/9 mərtəbə
51 000,Sumqayıt,3 otaqlı,99 m²,,5/14 mərtəbə
92 500,Xırdalan,2 otaqlı,42 m²,Agentlik,12/13 mərtəbə
410 000,28 May m.,3 otaqlı,150 m²,,10/16 mərtəbə
177 000,20 Yanvar m.,2 otaqlı,50 m²,Agentlik,4/20 mərtəbə
530 000,Nizami m.,3 otaqlı,113.7 m²,Agentlik,7/15 mərtəbə
399 000,8 Noyabr m.,3 otaqlı,136 m²,,10/17 mərtəbə
675 189,Nardaran q.,4 otaqlı,147.1 m²,Kompleks,25/27 mərtəbə
275 000,Nəriman Nərimanov m.,2 otaqlı,84 m²,,8/15 mərtəbə
350 000,Sahil m.,2 otaqlı,72 m²,,3/3 mərtəbə
139 300,Nardaran q.,1 otaqlı,43 m²,Kompleks,12/14 mərtəbə
117 000,Pirşağı q.,4 otaqlı,132 m²,Agentlik,
150 000,Nardaran q.,17 sot,,Agentlik,
210 000,Əhmədli q.,5 otaqlı,205 m²,,
